"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"RP11-841O20.2"	0.00058908792295594	-0.397503055295651	0.251	0.365	1
"RP11-1399P15.1"	0.00059046177987816	-0.501872949306627	0.116	0.208	1
"STAMBPL1"	0.000607354911452825	-0.471600081226005	0.211	0.31	1
"PNPLA2"	0.00060841959756469	0.387437884531132	0.187	0.106	1
"DLEU2"	0.000612857810037639	0.387062491245426	0.124	0.06	1
"IFRD1"	0.000629553437603129	0.27979262882397	0.538	0.447	1
"RARRES3"	0.00064292726873912	-0.29014336865706	0.442	0.553	1
"DEDD2"	0.000646388229724953	0.348424672309438	0.426	0.334	1
"DCP2"	0.000648832916534742	0.332417313955752	0.45	0.342	1
"GLA"	0.000653393839550325	0.497143126668513	0.183	0.106	1
"CPNE8"	0.000669062906837768	0.338153747628404	0.159	0.085	1
"EIF2AK2"	0.000678200581842373	-0.50229760915486	0.155	0.251	1
"ANP32A"	0.00068220238523322	-0.311829365409381	0.339	0.462	1
"ZNF10"	0.000686709488397941	0.373131513148109	0.104	0.047	1
"NUP54"	0.000703877008061395	-0.478508202086478	0.072	0.154	1
"INSIG1"	0.00070399180680369	0.387780743212418	0.303	0.204	1
"LINC00342"	0.00071495166025008	0.294526884510675	0.155	0.083	1
"BHLHE40"	0.000718145166650929	-0.358455072504348	0.255	0.393	1
"THAP5"	0.000750438240537592	-0.450267474350334	0.12	0.215	1
"RP11-153M3.1"	0.000750789867065616	0.280205485340359	0.279	0.191	1
"HAPLN3"	0.000759826611530525	-0.40414658852607	0.175	0.284	1
"KIAA0930"	0.000775055336757653	0.251263181407797	0.116	0.054	1
"SAMD9L"	0.000779969144801962	-0.389838975710507	0.203	0.314	1
"RBPJ"	0.00078138637336846	-0.265299740003594	0.518	0.628	1
"CTR9"	0.000781870211925652	0.370021678906615	0.251	0.157	1
"RP11-256P1.1"	0.00078794904675306	0.382702846243311	0.135	0.069	1
"DLD"	0.0007915897910298	-0.407087972599246	0.223	0.336	1
"NBPF24"	0.000798187419029002	0.334106904866632	0.259	0.168	1
"DCPS"	0.000800611534033683	-0.492256281350599	0.076	0.159	1
"MRPL18"	0.000834293348478039	0.417479697691909	0.275	0.19	1
"TRIM22"	0.000841992512687698	-0.268706519227086	0.502	0.608	1
"ERO1L"	0.000843352989190157	-0.340727145033214	0.307	0.412	1
"LEF1"	0.00087936486303762	0.366701322439586	0.323	0.221	1
"SNHG8"	0.000916974430336887	0.367677684156714	0.371	0.268	1
"STAG3L5P-PVRIG2P-PILRB"	0.000918609725190119	0.39725595899412	0.251	0.166	1
"WDR26"	0.000927891532036389	0.399107509542164	0.371	0.279	1
"RHBDD2"	0.00094303992605088	-0.305566494356229	0.454	0.557	1
"TMEM208"	0.000946650923497075	-0.534073284563306	0.076	0.157	1
"MED13L"	0.000949524836249221	0.455050958935327	0.207	0.131	1
"ID2"	0.000985629755283401	-0.272971201277388	0.438	0.552	1
"RBM14"	0.000996510207244464	0.398102581596947	0.327	0.228	1
"MORF4L1P1"	0.00101101526281804	-0.294534899700988	0.263	0.375	1
"DR1"	0.00101243433922954	-0.287113010886519	0.482	0.605	1
"FANCL"	0.00102682909305877	-0.41973640768842	0.104	0.193	1
"PFKFB3"	0.00103586252254154	-0.295525655789687	0.386	0.516	1
"PRRC2B"	0.00104400801265487	0.325968579042136	0.47	0.373	1
"NOTCH2"	0.00105562025718425	-0.298501566464338	0.283	0.403	1
"DYNLL1"	0.00108389820079957	0.268272296031467	0.47	0.384	1
"APRT"	0.00111193273308346	-0.251713814084627	0.442	0.529	1
"SMCO4"	0.001119619599637	0.442180334052085	0.159	0.087	1
"UBA7"	0.00113097032994866	-0.403168302142626	0.215	0.32	1
"ZNF507"	0.00113931329969181	0.375509616768395	0.199	0.121	1
"FAM210A"	0.00115421236308744	0.323634691374095	0.112	0.053	1
"GUSBP3"	0.00115845256042276	0.301961363872873	0.211	0.128	1
"FAM120C"	0.0011593740605791	0.28714497152159	0.112	0.053	1
"ANKHD1"	0.00118642080201871	0.288675824891542	0.53	0.412	1
"TP53INP1"	0.00120360764351132	-0.271790074949097	0.414	0.548	1
"CCDC12"	0.00120657329791427	-0.364431890845787	0.223	0.326	1
"MICAL2"	0.0012119844805248	-0.362473144919834	0.231	0.338	1
"LIME1"	0.00121819599954255	0.379083602060195	0.315	0.224	1
"LRRC58"	0.00122055313811786	0.325583503889035	0.219	0.136	1
"VPS13B"	0.00122681375761583	0.31598685398572	0.446	0.343	1
"CDK16"	0.00122965536981539	0.357728625218687	0.271	0.178	1
"CCDC109B"	0.00125791024191117	0.383541315192043	0.247	0.158	1
"EGR2"	0.00126110652493671	0.442521008236042	0.163	0.094	1
"TXNL4B"	0.00126584151224598	0.42780575798403	0.147	0.081	1
"MDH1"	0.00128101630584624	-0.363526545470293	0.311	0.425	1
"EP300"	0.001314108022912	0.273191793521306	0.462	0.358	1
"PCNXL2"	0.00134042966377935	0.285449267991217	0.39	0.278	1
"LIMK2"	0.001351914421186	0.356997885279079	0.279	0.186	1
"KPNA2"	0.00137721332659491	0.335504972362298	0.323	0.222	1
"IL1R1"	0.00137922235035751	-0.386552114364887	0.06	0.133	1
"APOL3"	0.00138509527746158	-0.427621104646214	0.131	0.224	1
"NKRF"	0.00141372117656882	0.339834895599331	0.139	0.075	1
"SP140"	0.00144112735964371	-0.321426496886792	0.331	0.447	1
"ITGA4"	0.00144535172263088	-0.297870425757012	0.486	0.615	1
"TC2N"	0.00145719902754193	0.422592462176968	0.279	0.195	1
"PDPK2"	0.00146493823158006	0.280252437642693	0.127	0.066	1
"RP4-583P15.15"	0.00148586783699068	0.311373442463203	0.227	0.15	1
"MYADM"	0.00149841288442429	0.287488433144304	0.442	0.334	1
"NAA38"	0.00150018227362996	-0.403787742945788	0.195	0.299	1
"PARVG"	0.00150931679108248	0.329174905867326	0.474	0.379	1
"EIF1AD"	0.0015145854865041	0.386871035898653	0.263	0.176	1
"INTS6"	0.00151937827457367	0.305760414469962	0.151	0.083	1
"ANXA2R"	0.0015222662351544	0.36168282477301	0.124	0.064	1
